PLOT,REP,ROTATION,TILLAGE,SUMSVR
113,1,1,T1,31377
222,2,1,T1,30201
314,3,1,T1,32419
114,1,1,T2,31849
221,2,1,T2,28307
313,3,1,T2,34084
107,1,2,T1,32035
223,2,2,T1,30636
306,3,2,T1,27372
108,1,2,T2,31584
224,2,2,T2,24955
305,3,2,T2,29319
112,1,3,T1,29296
220,2,3,T1,30435
304,3,3,T1,33350
111,1,3,T2,30161
219,2,3,T2,26692
303,3,3,T2,31671
118,1,4,T1,23162
213,2,4,T1,18385
309,3,4,T1,18900
117,1,4,T2,21374
214,2,4,T2,17181
310,3,4,T2,20133
105,1,5,T1,27169
205,2,5,T1,25512
321,3,5,T1,29403
106,1,5,T2,26866
206,2,5,T2,24442
322,3,5,T2,30047
123,1,6,T1,19989
203,2,6,T1,17468
317,3,6,T1,21749
124,1,6,T2,22066
204,2,6,T2,18956
318,3,6,T2,17539
