DATEDMY,PCU221110221110P
12/1/2003,100
1/1/2004,100.5
2/1/2004,102.9
3/1/2004,100.9
4/1/2004,102.8
5/1/2004,104.7
6/1/2004,108.6
7/1/2004,110.2
8/1/2004,110.9
9/1/2004,105.6
10/1/2004,103.1
11/1/2004,107.8
12/1/2004,107.7
1/1/2005,106.6
2/1/2005,105.7
3/1/2005,112.8
4/1/2005,109.4
5/1/2005,112.6
6/1/2005,114.5
7/1/2005,125.5
8/1/2005,141.2
9/1/2005,140.3
10/1/2005,135.5
11/1/2005,123.6
12/1/2005,137.4
1/1/2006,129.8
2/1/2006,128.7
3/1/2006,125.6
4/1/2006,122.3
5/1/2006,122.3
6/1/2006,124.9
7/1/2006,132
8/1/2006,149.9
9/1/2006,129.5
10/1/2006,122.1
11/1/2006,129.2
12/1/2006,127.4
1/1/2007,121.9
2/1/2007,135.7
3/1/2007,128.8
4/1/2007,128.7
5/1/2007,126.5
6/1/2007,131.8
7/1/2007,138.1
8/1/2007,141.8
9/1/2007,133.8
10/1/2007,134.7
11/1/2007,133.1
12/1/2007,134.6
1/1/2008,133.8
2/1/2008,141.2
3/1/2008,139.4
4/1/2008,148
5/1/2008,146.5
6/1/2008,152.9
7/1/2008,158
8/1/2008,163.7
9/1/2008,150.4
10/1/2008,143.5
11/1/2008,137.9
12/1/2008,135.9
1/1/2009,136.8
2/1/2009,136.9
3/1/2009,133.3
4/1/2009,128.7
5/1/2009,128.7
6/1/2009,129.3
7/1/2009,131.7
8/1/2009,137.4
9/1/2009,130.2
10/1/2009,132.9
11/1/2009,134.1
12/1/2009,136.2
1/1/2010,142.5
2/1/2010,145
3/1/2010,140.4
4/1/2010,136.3
5/1/2010,134.4
6/1/2010,134.6
7/1/2010,140
8/1/2010,147.4
9/1/2010,138.3
10/1/2010,132.9
11/1/2010,134.5
12/1/2010,140.1
1/1/2011,145.7
2/1/2011,145.8
3/1/2011,138.2
4/1/2011,139.2
5/1/2011,141.4
6/1/2011,149.5
7/1/2011,152.4
8/1/2011,157.4
9/1/2011,148.2
10/1/2011,131.4
11/1/2011,128.2
12/1/2011,128.1
1/1/2012,126
2/1/2012,124
3/1/2012,119.7
4/1/2012,118.9
5/1/2012,124.5
6/1/2012,128.8
7/1/2012,135.1
8/1/2012,134.8
9/1/2012,129.6
10/1/2012,126.8
11/1/2012,128.3
12/1/2012,129.2
1/1/2013,129.7
2/1/2013,130.7
3/1/2013,130.2
4/1/2013,132.6
5/1/2013,138.7
6/1/2013,134.4
7/1/2013,142.7
8/1/2013,135.6
9/1/2013,140.7
10/1/2013,131.1
11/1/2013,132.4
12/1/2013,159
1/1/2014,185.1
2/1/2014,191
3/1/2014,167.3
4/1/2014,161.8
5/1/2014,142
6/1/2014,142
7/1/2014,144.5
8/1/2014,141.7
9/1/2014,142
10/1/2014,135
11/1/2014,135.4
12/1/2014,137.4
1/1/2015,147.2
2/1/2015,131.8
3/1/2015,157.7
4/1/2015,130.8
5/1/2015,128
6/1/2015,131.2
7/1/2015,140.1
8/1/2015,136.5
9/1/2015,132.1
10/1/2015,123.5
11/1/2015,120.2
12/1/2015,118.4
1/1/2016,118.1
2/1/2016,116.9
3/1/2016,112.1
4/1/2016,113.8
5/1/2016,114.8
6/1/2016,123
7/1/2016,125.7
8/1/2016,130.9
9/1/2016,127.1
10/1/2016,121.6
11/1/2016,117.3
12/1/2016,125.1
1/1/2017,129.6
2/1/2017,123.5
3/1/2017,123.3
4/1/2017,125.1
5/1/2017,120.5
6/1/2017,124.8
7/1/2017,130.2
8/1/2017,131
9/1/2017,131.9
10/1/2017,126.5
11/1/2017,126.5
12/1/2017,125.4
1/1/2018,155.9
2/1/2018,132.2
3/1/2018,126.7
4/1/2018,131.8
5/1/2018,126
6/1/2018,134.1
7/1/2018,144.3
8/1/2018,167.3
9/1/2018,139.2
10/1/2018,141.7
11/1/2018,145.4
12/1/2018,159.2
1/1/2019,137.4
2/1/2019,155
3/1/2019,157.1
4/1/2019,134.9
5/1/2019,131.9
6/1/2019,138.5
7/1/2019,139.9
8/1/2019,174.2
9/1/2019,173.3
10/1/2019,143.4
11/1/2019,143
12/1/2019,134
1/1/2020,128.9
2/1/2020,126.2
3/1/2020,124.6
4/1/2020,122.6
5/1/2020,120.3
6/1/2020,127
7/1/2020,136.9
8/1/2020,156.7
9/1/2020,142.3
10/1/2020,143.6
11/1/2020,144.4
12/1/2020,138.8
1/1/2021,135.7
2/1/2021,774.2
3/1/2021,156.6
4/1/2021,141.7
5/1/2021,144.1
6/1/2021,176.2
7/1/2021,179.323
8/1/2021,184.724
9/1/2021,191.069
10/1/2021,194.144
11/1/2021,183.206
12/1/2021,165.365
1/1/2022,170.83
2/1/2022,170.393
3/1/2022,172.038
4/1/2022,196.61
5/1/2022,285.425
6/1/2022,239.02
7/1/2022,305.64
8/1/2022,282.016
9/1/2022,295.036
10/1/2022,212.212
11/1/2022,198.148
12/1/2022,321.711
1/1/2023,275.074
2/1/2023,169.932
3/1/2023,180.542
4/1/2023,158.19
5/1/2023,139.589
6/1/2023,154.986
7/1/2023,184.954
8/1/2023,290.312
9/1/2023,208.023
10/1/2023,163.675
11/1/2023,172.027
12/1/2023,159.591
1/1/2024,200.135
2/1/2024,151.075
3/1/2024,146.444
4/1/2024,139.94
5/1/2024,159.753
6/1/2024,163.893
7/1/2024,186.345
8/1/2024,189.153
9/1/2024,204.406
